name,description,category,price
Gateau St. Honore,"A classic French cake combining puff pastry and a ring of choux pastry, filled with cream and sometimes topped with whipped cream",cake,35
Angel Food Cake,"An American sponge cake made with egg whites, flour, and sugar, with no butter, which makes it very light and fluffy",cake,18
Pound Cake,"A traditional American cake with a dense, buttery texture, made with a pound of each butter, sugar, eggs, and flour",cake,20
Chiffon Cake,"A very light cake made with vegetable oil, eggs, sugar, flour, baking powder, and flavourings",cake,22
Banana Bread,"More of a bread-cake hybrid, this sweet loaf is made with mashed bananas and often nuts or chocolate chips",cake,15
Swiss Roll,"A type of roll cake made by rolling a thin sheet cake spread with jam, cream, or icing",cake,18
Flourless Chocolate Cake,"A dense, fudgy cake made without flour, often described as a cross between a cake and a truffle",cake,25
Lamingtons,Australian small squares of a sponge cake coated in a layer of chocolate icing and desiccated coconut. Price for a box of 12,cake,20
Mooncake,"A traditional Chinese cake typically eaten during the Mid-Autumn Festival, usually filled with red bean or lotus seed paste. Price for a box of 4",cake,45
Molten Chocolate Cake,"A popular dessert that combines the elements of a chocolate cake and a souffle, with a gooey chocolate centre",cake,26
Spice Cake,"A cake flavoured with a mixture of spices, often topped with cream cheese frosting",cake,22
Matcha Cake,"A light and fluffy cake flavoured with matcha (green tea powder), often layered or topped with a light frosting",cake,24
King Cake,"Associated with Mardi Gras traditions, this cake is a ring of twisted cinnamon roll-style dough, topped with icing or sugar, usually coloured purple, green, and gold",cake,20
Cassata,A traditional Sicilian cake made with layers of sponge cake moistened with fruit juices or liqueur and layered with ricotta cheese and candied fruit,cake,30
Chocolate Chip Cookies,Classic American cookies with semi-sweet chocolate chips,cookie,3.5
Macarons,"French meringue-based confections made with almond flour, sugar, and egg whites, often filled with ganache, buttercream, or jam",cookie,5
Shortbread,"A traditional Scottish biscuit made from one part white sugar, two parts butter, and three parts flour",cookie,3.25
Oatmeal Raisin Cookies,"Hearty cookies made with oats and raisins, a chewy favourite",cookie,3
Sugar Cookies,Sweet and simple cookies often frosted or decorated with icing,cookie,3
Snickerdoodle,"Soft cookies coated in cinnamon sugar, known for their crinkled surface",cookie,3.5
Gingerbread Cookies,"Spiced cookies made with ginger, cinnamon, nutmeg, and molasses, often cut into shapes",cookie,4
Biscotti,"Italian almond biscuits that are oblong-shaped, dry, and crunchy, typically dipped in a drink",cookie,4.5
Anzac Biscuits,"Australian oat cookies, made with coconut and golden syrup, known for their hard texture",cookie,3.5
Peanut Butter Cookies,"Dense, chewy cookies made with peanut butter as a primary ingredient",cookie,3.5
Fortune Cookies,Crisp and sugary cookies usually served in Chinese restaurants with a fortune paper inside,cookie,3
Russian Tea Cakes,"Small, powdery balls made with nuts, flour, butter, and powdered sugar",cookie,4.25
Madeleines,"Small sponge cakes with a distinctive shell-like shape, flavoured with lemon zest",cookie,5
Pfeffernusse,German spice cookies that are particularly popular during the Christmas season,cookie,3.75
Linzer Cookies,"Austrian cookies with a sandwich structure, a cut-out on top, and a jam filling",cookie,4.5
Speculaas,"Dutch spiced cookies with a characteristic design, often baked for St. Nicholas Day",cookie,3.25
Amaretti,"Italian almond-flavoured cookies, crunch on the outside and chewy inside",cookie,4
Alfajores,South American sandwich cookies filled with dulce de leche or jam,cookie,5
Gingersnaps,"Brittle cookies flavoured with ginger, cloves, cinnamon, and molasses",cookie,3.5
Polvorones,"Spanish crumbly cookies made with flour, sugar, milk, and nuts",cookie,4
Molasses Cookies,"Chewy cookies with a rich molasses flavour, soft in the middle with a crackly surface",cookie,3.5
Butter Cookies,"Simple, crisp cookies made predominantly with butter",cookie,3.25
Jam Thumbprints,Buttery cookies with a dollop of jam in the centre of each,cookie,3.75
Lebkuchen,Traditional German Christmas cookies resembling gingerbread,cookie,4.5
Sables,"French round shortbread cookies known for their delicate, sandy texture",cookie,4
